Year,Month,Total
2003,4,29
2004,4,35
2005,4,44
2006,4,54
2007,4,37
2008,4,54
2009,4,45
2010,4,25
2011,4,38
2012,4,57
2013,4,35
2014,4,33
2015,4,52
2016,4,39
2017,4,55
2003,8,29
2004,8,38
2005,8,42
2006,8,36
2007,8,63
2008,8,64
2009,8,34
2010,8,41
2011,8,39
2012,8,42
2013,8,22
2014,8,41
2015,8,56
2016,8,54
2003,12,87
2004,12,77
2005,12,83
2006,12,93
2007,12,102
2008,12,120
2009,12,99
2010,12,99
2011,12,107
2012,12,109
2013,12,107
2014,12,113
2015,12,121
2016,12,119
2003,2,2
2004,2,52
2005,2,38
2006,2,32
2007,2,32
2008,2,32
2009,2,38
2010,2,38
2011,2,40
2012,2,38
2013,2,41
2014,2,43
2015,2,47
2016,2,74
2017,2,53
2004,1,48
2005,1,63
2006,1,56
2007,1,58
2008,1,78
2009,1,75
2010,1,74
2011,1,73
2012,1,85
2013,1,102
2014,1,69
2015,1,110
2016,1,94
2017,1,109
2003,7,22
2004,7,30
2005,7,34
2006,7,35
2007,7,48
2008,7,32
2009,7,34
2010,7,35
2011,7,28
2012,7,50
2013,7,35
2014,7,31
2015,7,33
2016,7,61
2003,6,30
2004,6,39
2005,6,33
2006,6,31
2007,6,40
2008,6,54
2009,6,46
2010,6,39
2011,6,34
2012,6,40
2013,6,36
2014,6,33
2015,6,38
2016,6,47
2017,6,46
2003,3,8
2004,3,43
2005,3,42
2006,3,51
2007,3,42
2008,3,47
2009,3,44
2010,3,38
2011,3,65
2012,3,49
2013,3,45
2014,3,48
2015,3,44
2016,3,57
2017,3,64
2003,5,22
2004,5,39
2005,5,36
2006,5,34
2007,5,30
2008,5,38
2009,5,41
2010,5,43
2011,5,47
2012,5,26
2013,5,41
2014,5,51
2015,5,49
2016,5,47
2017,5,49
2003,11,118
2004,11,120
2005,11,78
2006,11,120
2007,11,138
2008,11,161
2009,11,144
2010,11,155
2011,11,132
2012,11,142
2013,11,148
2014,11,119
2015,11,149
2016,11,158
2003,10,97
2004,10,100
2005,10,112
2006,10,119
2007,10,115
2008,10,126
2009,10,119
2010,10,123
2011,10,129
2012,10,152
2013,10,155
2014,10,151
2015,10,153
2016,10,174
2003,9,83
2004,9,63
2005,9,63
2006,9,100
2007,9,111
2008,9,85
2009,9,79
2010,9,115
2011,9,98
2012,9,101
2013,9,79
2014,9,86
2015,9,99
2016,9,103
