cycle,misc,AR,GO,GTO,SNAP,CAL
1,42,0,264,87,3,45
2,79,0,297,66,8,62
3,30,0,137,29,9,40
4,145,0,534,113,7,98
5,5,36,630,99,6,49
6,1,14,866,33,23,49
7,153,80,746,93,29,167
8,44,42,499,30,22,59
9,4,38,342,27,30,64
10,84,37,336,0,19,73
11,3,43,367,13,13,85
12,3,51,397,9,21,74
13,15,45,354,8,19,38
14,8,59,330,4,23,44
15,4,55,304,2,11,52
16,4,51,387,0,10,31
17,140,39,436,26,16,114
18,1,41,420,19,9,84
19,3,41,428,0,10,94
20,4,41,443,0,12,118
21,5,48,444,0,9,103
22,0,49,515,0,8,87
23,1,49,557,0,10,89
24,0,42,535,0,9,99
25,0,57,600,0,12,81
