place,lat,lon,Rent1BR,Rent2BR,GDP
Cincinnati,39.1014537000000,-84.5124601000000,1.6,1.3,3.27518
Phoenix,33.4485866000000,-112.0773455000000,3.6,3.6,3.87127
Riverside,33.9533546000000,-117.3961622000000,3.7,3.2,4.9604
Houston,29.7589382000000,-95.3676973000000,5.9,4.9,1.9824
Dallas,32.7762719000000,-96.7968558000000,3.8,3.9,7.25653
Pittsburgh,40.4416941000000,-79.9900860000000,1.4,-0.7,4.4703
Aurora,41.7605849000000,-88.3200714000000,6.2,1.7,6.53401
Baltimore,39.2908816000000,-76.6107589000000,1.4,1.2,3.3627
Chicago,41.8755546000000,-87.6244211000000,1.3,0,1.75014
New York,40.7305991000000,-73.9865811000000,1.9,2.2,4.53174
Tampa,27.9477595000000,-82.4584439000000,3.3,2.3,4.55069
Philadelphia,39.9523993000000,-75.1635898000000,2.3,1.9,3.25699
Mesa,33.4153143000000,-111.8312640000000,3.3,1.5,3.87127
Las Vegas,36.1662859000000,-115.1492249000000,4,3.9,4.44079
Raleigh,35.7803977000000,-78.6390988000000,3.8,2.6,4.56086
Fort Worth,32.7531770000000,-97.3327458000000,3.5,3.5,7.25653
Nashville,36.1622296000000,-86.7743530000000,6.4,6.4,5.63234
San Bernardino,34.1083449000000,-117.2897651000000,1.5,0.3,4.9604
Oklahoma City,35.4729886000000,-97.5170535000000,1.4,1,3.70386
Virginia Beach,36.8529841000000,-75.9774182000000,1.9,1.4,1.93375
Los Angeles,34.0549350000000,-118.2444759000000,4.9,4.3,3.95106
Portland,45.5202471000000,-122.6741948000000,4.2,5,-0.106136
Louisville,38.2542376000000,-85.7594069000000,1,0.7,4.47351
Columbus,39.9622601000000,-83.0007064000000,0.8,1.1,3.82158
St. Louis,38.6272733000000,-90.1978888000000,2.3,2.1,3.38881
Boston,42.3604823000000,-71.0595677000000,0.8,0.4,4.47159
Jacksonville,30.3321838000000,-81.6556509000000,4.3,3.1,5.0046
San Jose,37.3361905000000,-121.8905832000000,8.3,7.3,7.95341
Orlando,28.5421175000000,-81.3790461000000,3.3,2.7,5.62247
Cleveland,41.5051613000000,-81.6934445000000,1.1,0.2,3.01288
Indianapolis,39.7683331000000,-86.1583501000000,1.9,0.6,4.85198
Hartford,41.7634935000000,-72.6830522000000,4.2,0.4,2.31396
Milwaukee,43.0349931000000,-87.9224969000000,1.2,0.8,2.60122
Kansas City,39.0844687000000,-94.5630297000000,4.2,2.4,3.69467
Norfolk,36.8508,-76.2859,-0.1,-0.1,1.93375
Seattle,47.6038321000000,-122.3300623000000,3.4,2.6,4.5458
St. Petersburg,27.7703796000000,-82.6695084000000,2.9,3.5,4.55069
Tacoma,47.2495798000000,-122.4398745000000,2.3,2.7,4.5458
Providence,41.8239891000000,-71.4128342000000,1.1,2.1,3.39147
Fort Lauderdale,26.1223084000000,-80.1433785000000,2.4,-1,4.96196
San Diego,32.7174209000000,-117.1627713000000,4.6,2.9,3.27992
Minneapolis,44.9772995000000,-93.2654691000000,0.9,0.8,4.38968
San Antonio,29.4246002000000,-98.4951404000000,2,1.3,5.42164
Atlanta,33.7490987000000,-84.3901848000000,5.5,5.7,5.11941
Detroit,42.3486635000000,-83.0567374000000,1.1,0.2,4.219
Sacramento,38.5815719000000,-121.4943995000000,6.5,4.7,2.89035
Miami,25.7742658000000,-80.1936588000000,2.3,5.5,4.96196
St. Paul,44.9504037000000,-93.1015025000000,3.1,2.8,4.38968
Vancouver,49.2608944000000,-123.1139382000000,8,7.7,-0.106136
Salt Lake City,40.7670126000000,-111.8904307000000,2.8,0.7,3.82953
Charlotte,35.2270869000000,-80.8431267000000,3.8,3.4,6.53131
Austin,30.2711286000000,-97.7436994000000,4.5,3.6,7.74063
Richmond,37.5385087000000,-77.4342799000000,1.3,2.1,3.58707
Birmingham,33.5207,-86.8025,1.9,2.4,2.93986
San Francisco,37.7792808000000,-122.4192362000000,10.1,4,6.44369
Washington,38.8949549000000,-77.0366455000000,-0.1,-2.9,2.03316
Memphis,35.1490215000000,-90.0516284000000,1.2,0.3,2.35222
Denver,39.7391536000000,-104.9847033000000,6.8,8.2,6.53401
New Orleans,29.9499323000000,-90.0701155000000,1.6,-0.9,-2.38659
