Name,GDP,Rent1BR,Rent2BR
Birmingham,2.93986,1.9,2.4
Fort Lauderdale,4.96196,2.4,-1
Philadelphia,3.25699,2.3,1.9
Sacramento,2.89035,6.5,4.7
Fort Worth,7.25653,3.5,3.5
Salt Lake City,3.82953,2.8,0.7
Virginia Beach,1.93375,1.9,1.4
Cincinnati,3.27518,1.6,1.3
Pittsburgh,4.4703,1.4,-0.7
Denver,6.53401,6.8,8.2
Seattle,4.5458,3.4,2.6
Las Vegas,4.44079,4,3.9
Phoenix,3.87127,3.6,3.6
Los Angeles,3.95106,4.9,4.3
New Orleans,-2.38659,1.6,-0.9
Washington,2.03316,-0.1,-2.9
Vancouver,-0.106136,8,7.7
Charlotte,6.53131,3.8,3.4
San Bernardino,4.9604,1.5,0.3
Cleveland,3.01288,1.1,0.2
Providence,3.39147,1.1,2.1
New York,4.53174,1.9,2.2
St. Louis,3.38881,2.3,2.1
Houston,1.9824,5.9,4.9
San Diego,3.27992,4.6,2.9
Riverside,4.9604,3.7,3.2
Kansas City,3.69467,4.2,2.4
Hartford,2.31396,4.2,0.4
Aurora,6.53401,6.2,1.7
San Antonio,5.42164,2,1.3
Richmond,3.58707,1.3,2.1
Jacksonville,5.0046,4.3,3.1
St. Petersburg,4.55069,2.9,3.5
Dallas,7.25653,3.8,3.9
St. Paul,4.38968,3.1,2.8
Miami,4.96196,2.3,5.5
Detroit,4.219,1.1,0.2
Milwaukee,2.60122,1.2,0.8
Oklahoma City,3.70386,1.4,1
Mesa,3.87127,3.3,1.5
Columbus,3.82158,0.8,1.1
Nashville,5.63234,6.4,6.4
San Jose,7.95341,8.3,7.3
Baltimore,3.3627,1.4,1.2
Norfolk,1.93375,-0.1,-0.1
Raleigh,4.56086,3.8,2.6
Chicago,1.75014,1.3,0
Portland,-0.106136,4.2,5
Minneapolis,4.38968,0.9,0.8
Austin,7.74063,4.5,3.6
Tampa,4.55069,3.3,2.3
Orlando,5.62247,3.3,2.7
Louisville,4.47351,1,0.7
Tacoma,4.5458,2.3,2.7
Atlanta,5.11941,5.5,5.7
Boston,4.47159,0.8,0.4
Memphis,2.35222,1.2,0.3
San Francisco,6.44369,10.1,4
Indianapolis,4.85198,1.9,0.6
